path, orbit, block, line, sample, lat, lon, an, ca, cf, rms_atm, rms_model, rms_ad_model, weight, tweight, ascend
77, 88126, 30, 19, 421, 75.204502, 210.078932, 0.220686, 0.374571, 0.569848, 6.981000, 14.954064, 12.156441, 0.500000, 5.000000, 0
77, 88126, 30, 194, 556, 74.668941, 210.456966, 0.538734, 0.586327, 0.780730, 14.505000, 6.570792, 12.522000, 0.500000, 5.000000, 0
77, 88126, 30, 195, 557, 74.666088, 210.458140, 0.514751, 0.574179, 0.773596, 14.779091, 7.203356, 11.233000, 0.500000, 5.500000, 0
77, 88126, 30, 196, 557, 74.662947, 210.459427, 0.515811, 0.575374, 0.766890, 11.537500, 7.356888, 10.924444, 0.500000, 2.000000, 0
77, 88126, 30, 196, 558, 74.661804, 210.459893, 0.523285, 0.578086, 0.764560, 10.673333, 7.779069, 7.478000, 0.500000, 3.000000, 0
77, 88126, 30, 197, 558, 74.660089, 210.460591, 0.524345, 0.583361, 0.766696, 16.275000, 7.928838, 8.754048, 0.500000, 5.000000, 0
77, 88126, 30, 198, 559, 74.657228, 210.461760, 0.523083, 0.590668, 0.762966, 13.217000, 7.146258, 8.215000, 0.500000, 5.000000, 0
77, 88126, 30, 199, 559, 74.654364, 210.462933, 0.520606, 0.590093, 0.761430, 14.696000, 7.244451, 8.589787, 0.500000, 2.500000, 0
77, 88126, 30, 20, 422, 75.201584, 210.079489, 0.216551, 0.382547, 0.568314, 5.869000, 15.731408, 14.234507, 0.500000, 5.000000, 0
77, 88126, 30, 204, 563, 74.639422, 210.468892, 0.496906, 0.583241, 0.756674, 8.140000, 8.158942, 8.936596, 0.500000, 5.000000, 0
77, 88126, 30, 205, 563, 74.636540, 210.470058, 0.501910, 0.583618, 0.758673, 5.110000, 8.607987, 7.908409, 0.500000, 2.500000, 0
77, 88126, 30, 205, 564, 74.635098, 210.470642, 0.494967, 0.581162, 0.764367, 4.616000, 8.407505, 6.814167, 0.500000, 2.500000, 0
77, 88126, 30, 206, 564, 74.633656, 210.471226, 0.505545, 0.583171, 0.767453, 7.468000, 7.307621, 5.758000, 0.500000, 5.000000, 0
77, 88126, 30, 207, 565, 74.630771, 210.472389, 0.495313, 0.588298, 0.766716, 9.172000, 7.410175, 8.054821, 0.500000, 5.000000, 0
77, 88126, 30, 208, 565, 74.627885, 210.473550, 0.505345, 0.589354, 0.765452, 7.981667, 7.262277, 8.081458, 0.500000, 3.000000, 0
77, 88126, 30, 208, 566, 74.626153, 210.474247, 0.500851, 0.584180, 0.757143, 9.182500, 8.498273, 8.242500, 0.500000, 2.000000, 0
77, 88126, 30, 209, 566, 74.624997, 210.474714, 0.509794, 0.584421, 0.754928, 5.711818, 8.887335, 7.976219, 0.500000, 5.500000, 0
77, 88126, 30, 210, 567, 74.621820, 210.475997, 0.511933, 0.579761, 0.756638, 3.902000, 8.561995, 9.176552, 0.500000, 5.000000, 0
77, 88126, 30, 211, 567, 74.618929, 210.477167, 0.513400, 0.580410, 0.755919, 3.644000, 8.056327, 8.720172, 0.500000, 2.500000, 0
77, 88126, 30, 21, 422, 75.198668, 210.079998, 0.216961, 0.382955, 0.571198, 5.438750, 15.802571, 13.051585, 0.500000, 4.000000, 0
77, 88126, 30, 21, 423, 75.196338, 210.080342, 0.218060, 0.383777, 0.572286, 5.970000, 15.305442, 13.681429, 0.500000, 0.500000, 0
77, 88126, 30, 217, 572, 74.599865, 210.484949, 0.510064, 0.582224, 0.706012, 24.150000, 21.752460, 29.118000, 0.500000, 2.500000, 0
