path, orbit, block, line, sample, lat, lon, an, ca, cf, rms, weight, npts, cloud, var
93, 88127, 29, 53, 1872, 74.193175, 199.129855, 17.385253, 17.461748, -999999.000000, 3.260000, 0.500000, 4.000000, 1, 0.213951
93, 88127, 29, 53, 1871, 74.194691, 199.123316, 17.385253, 17.461748, -999999.000000, 3.570000, 0.500000, 4.000000, 1, 0.691574
93, 88127, 29, 53, 1870, 74.196203, 199.116770, 17.385253, 17.461748, -999999.000000, 4.104000, 0.500000, 2.500000, 1, 1.111316
93, 88127, 29, 53, 1866, 74.202725, 199.087948, 17.385253, 17.461748, -999999.000000, 5.041250, 0.500000, 4.000000, 1, 0.810408
93, 88127, 29, 53, 1865, 74.204192, 199.081312, 17.385253, 17.461748, -999999.000000, 3.116250, 0.500000, 4.000000, 1, 0.204508
93, 88127, 29, 53, 1864, 74.205651, 199.074658, 17.385253, 17.461748, -999999.000000, 3.693333, 0.500000, 3.000000, 1, 0.163775
93, 88127, 29, 53, 1847, 74.232342, 198.949731, 17.385253, 17.461748, -999999.000000, 3.597500, 0.500000, 2.000000, 1, 0.063787
93, 88127, 29, 53, 1846, 74.233074, 198.946422, 17.385253, 17.461748, -999999.000000, 3.430000, 0.500000, 0.500000, 1, 0.000000
93, 88127, 29, 54, 1841, 74.241811, 198.905325, 17.385253, 17.461748, -999999.000000, 6.585000, 0.500000, 1.000000, 1, 0.095000
93, 88127, 29, 54, 1840, 74.242165, 198.903644, 17.385253, 17.461748, -999999.000000, 8.094444, 0.500000, 4.500000, 1, 7.998292
93, 88127, 29, 54, 1839, 74.243757, 198.896093, 17.385253, 17.461748, -999999.000000, 12.890000, 0.500000, 4.000000, 1, 9.665243
93, 88127, 29, 54, 1838, 74.245177, 198.889406, 17.385253, 17.461748, -999999.000000, 5.965714, 0.500000, 3.500000, 1, 5.625396
93, 88127, 29, 54, 1837, 74.247670, 198.877758, 17.385253, 17.461748, -999999.000000, 5.710000, 0.500000, 1.500000, 1, 0.900703
93, 88127, 29, 54, 1835, 74.249815, 198.867822, 17.385253, 17.461748, -999999.000000, 6.631250, 0.500000, 4.000000, 1, 1.976256
93, 88127, 29, 54, 1834, 74.251246, 198.861211, 17.385253, 17.461748, -999999.000000, 5.081429, 0.500000, 3.500000, 1, 1.641249
93, 88127, 29, 54, 1833, 74.252856, 198.853793, 17.385253, 17.461748, -999999.000000, 8.718571, 0.500000, 3.500000, 1, 5.745133
93, 88127, 29, 54, 1832, 74.254468, 198.846388, 17.385253, 17.461748, -999999.000000, 5.387500, 0.500000, 4.000000, 1, 1.972662
93, 88127, 29, 54, 1831, 74.255900, 198.839814, 17.385253, 17.461748, -999999.000000, 5.348333, 0.500000, 3.000000, 1, 1.712565
93, 88127, 29, 54, 1830, 74.257511, 198.832428, 17.385253, 17.461748, -999999.000000, 4.366000, 0.500000, 2.500000, 1, 0.916659
93, 88127, 29, 54, 1829, 74.260187, 198.820113, 17.385253, 17.461748, -999999.000000, 3.175000, 0.500000, 1.000000, 1, 0.195000
93, 88127, 29, 54, 1828, 74.260543, 198.818471, 17.385253, 17.461748, -999999.000000, 3.521250, 0.500000, 4.000000, 1, 0.390302
93, 88127, 29, 54, 1811, 74.287049, 198.695175, 17.385253, 17.461748, -999999.000000, 4.845000, 0.500000, 3.000000, 1, 0.988058
93, 88127, 29, 54, 1810, 74.288107, 198.690240, 17.385253, 17.461748, -999999.000000, 6.475000, 0.500000, 3.000000, 1, 0.734251
93, 88127, 29, 55, 1778, 74.336744, 198.461071, 17.385253, 17.461748, -999999.000000, 4.635556, 0.500000, 4.500000, 1, 2.170873
93, 88127, 29, 55, 1777, 74.338333, 198.453504, 17.385253, 17.461748, -999999.000000, 12.077500, 0.500000, 4.000000, 1, 5.152846
93, 88127, 29, 55, 1776, 74.339746, 198.446781, 17.385253, 17.461748, -999999.000000, 14.301667, 0.500000, 3.000000, 1, 3.200049
93, 88127, 29, 55, 1775, 74.341868, 198.436690, 17.385253, 17.461748, -999999.000000, 3.730000, 0.500000, 1.000000, 1, 0.040000
93, 88127, 29, 56, 1774, 74.343998, 198.426613, 17.385253, 17.461748, -999999.000000, 3.375000, 0.500000, 1.000000, 1, 0.375000
93, 88127, 29, 56, 1773, 74.344353, 198.424934, 17.385253, 17.461748, -999999.000000, 5.660000, 0.500000, 1.500000, 1, 0.438406
164, 88146, 8, 476, 1157, 74.344531, 198.424093, 13.276986, 13.259175, 17.499356, 5.182500, 1.000000, 4.000000, -1, 0.910038
164, 88146, 8, 345, 1110, 74.129692, 199.405884, 14.922032, 16.332713, 17.624949, 11.720000, 1.000000, 2.000000, -1, 1.510000
164, 88146, 8, 345, 1111, 74.130075, 199.404184, 14.948701, 16.347069, 17.740425, 12.283333, 1.000000, 3.000000, -1, 1.854981
164, 88146, 8, 346, 1111, 74.130650, 199.401632, 14.946428, 16.360237, 17.772361, 9.236250, 1.000000, 8.000000, -1, 2.992215
164, 88146, 8, 347, 1111, 74.132183, 199.394831, 15.024503, 16.356141, 17.729208, 9.576667, 1.000000, 9.000000, -1, 2.445917
164, 88146, 8, 348, 1111, 74.133912, 199.387186, 14.897055, 16.385202, 17.652213, 5.048000, 1.000000, 5.000000, -1, 0.867327
164, 88146, 8, 348, 1112, 74.134871, 199.382937, 14.839627, 16.411731, 17.546860, 10.985000, 1.000000, 4.000000, -1, 5.673326
164, 88146, 8, 349, 1112, 74.135640, 199.379537, 14.616599, 16.474428, 17.599726, 11.541250, 1.000000, 8.000000, -1, 3.686389
164, 88146, 8, 350, 1112, 74.137176, 199.372744, 14.548460, 16.476242, 17.676069, 7.314444, 1.000000, 9.000000, -1, 2.918352
164, 88146, 8, 351, 1112, 74.138904, 199.365126, 14.611306, 16.474344, 17.730855, 12.782500, 1.000000, 4.000000, -1, 3.615539
164, 88146, 8, 351, 1113, 74.139672, 199.361749, 14.685012, 16.472471, 17.601167, 8.080000, 1.000000, 5.000000, -1, 1.883698
164, 88146, 8, 352, 1113, 74.140631, 199.357530, 14.694927, 16.466839, 17.257670, 5.501250, 1.000000, 8.000000, -1, 0.665797
